日期,股票名称,判断结果,价格波动是否正常,价格涨跌幅,持股波动是否正常,持股涨跌幅,超出正常区间,总持仓比例,五日持仓占比,十日持仓占比
2022-03-21,广和通,利好,正常,0.31%,正常,1.43%,0,1.08%,13.1%,31.73%
2022-03-21,中国人寿,利空,需要关注,-2.53%,需要关注,-2.48%,-1.03%,0.26%,3.62%,-1.23%
2022-03-21,中铝国际,利好,正常,1.17%,正常,6.28%,0,0.49%,16.33%,14.28%
2022-03-21,芒果超媒,小利空,正常,0.1%,需要关注,-1.91%,-0.63%,2.75%,-3.18%,-2.01%
2022-03-21,中际旭创,小利空,需要关注,1.66%,正常,-0.0%,0,9.33%,1.5%,-0.51%
2022-03-21,同花顺,利空,正常,-1.65%,正常,-2.74%,0,2.95%,-22.89%,-55.28%
2022-03-21,世纪华通,利空,正常,-1.45%,正常,-1.07%,0,1.95%,-0.47%,-0.33%
2022-03-21,圣农发展,小利空,需要关注,5.38%,需要关注,-1.74%,-1.24%,9.8%,-0.94%,0.91%
2022-03-21,工业富联,小利好,正常,-0.98%,正常,0.3%,0,2.04%,3.08%,0.8%
2022-03-21,韦尔股份,利空,正常,-0.9%,需要关注,-1.23%,-0.35%,9.19%,-1.7%,-7.81%
2022-03-21,德邦股份,小利空,需要关注,9.94%,正常,-10.92%,0,0.64%,-4.16%,20.73%
2022-03-21,恒力石化,小利空,正常,0.23%,正常,-0.55%,0,1.69%,0.77%,-0.74%
2022-03-21,新奥股份,小利空,需要关注,5.11%,正常,-0.42%,0,11.16%,0.67%,-1.94%
2022-03-21,广汽集团,利空,正常,-0.35%,正常,-2.57%,0,0.63%,11.33%,23.18%
2022-03-21,沪电股份,小利空,需要关注,6.72%,需要关注,-1.97%,-1.34%,7.52%,2.89%,5.59%
2022-03-21,新疆交建,利空,正常,-1.36%,需要关注,-38.96%,-25.52%,0.53%,13.46%,26.59%
2022-03-21,八方股份,小利空,正常,0.18%,正常,-0.12%,0,24.38%,0.86%,2.91%
2022-03-21,恩捷股份,小利好,正常,-0.25%,正常,0.56%,0,9.62%,-3.92%,-13.21%
2022-03-21,老板电器,利空,正常,-0.66%,需要关注,-0.56%,-0.05%,9.47%,-1.89%,-2.97%
2022-03-21,上海医药,小利空,需要关注,10.01%,需要关注,-1.85%,-0.51%,3.06%,2.43%,-3.11%
2022-03-21,京东方,利空,正常,-0.23%,需要关注,-1.14%,-0.07%,3.95%,1.11%,4.4%
2022-03-21,三一重工,小利好,正常,-1.0%,正常,0.5%,0,6.59%,5.61%,6.01%
