timeday,today_price,up_and_down,hold_stock_number,hold_stock_price,stock_rate,oneday,fiveday,tenday
2022-03-21,222.26,-0.9007,72770288.0,16173924210.88,9.19,-349418325.80000114,775649058.8799992,-1318372091.1200008
2022-03-18,224.28,0.0803,73672831.0,16523342536.68,9.32,13611153.780002594,-57215785.319999695,-1938414302.4000015
2022-03-17,224.1,4.4755,73671269.0,16509731382.9,9.32,622076957.3999996,-658520509.6200008,-1955658389.1000004
2022-03-16,214.5,10.0,74068319.0,15887654425.5,9.37,1456513675.5,-1326862962.0600014,-2895180694.5
2022-03-15,195.0,-6.25,74005850.0,14431140750.0,9.36,-967134402.0,-2914195817.799999,-4847317942.0
2022-03-14,208.0,-6.3569,74030169.0,15398275152.0,9.37,-1182283170.000002,-2094021150.0,-3644772542.3799973
2022-03-11,222.12,-1.9511,74646850.0,16580558322.000002,9.44,-587693570.5199966,-1881198517.079996,-2315338842.629999
2022-03-10,226.54,0.7113,75784638.0,17168251892.519999,9.59,-46265495.04000282,-1297137879.4800014,-1857609534.33
2022-03-09,224.94,1.746,76529374.0,17214517387.56,9.68,-130819180.23999786,-1568317732.4399986,-1953119282.0899925
2022-03-08,221.08,0.0362,78457285.0,17345336567.8,9.93,-146959734.20000076,-1933122124.2000008,-990736782.2000008
2022-03-07,221.0,-5.612,79150662.0,17492296302.0,10.01,-969460537.079998,-1550751392.3799973,-577383218.8999977
2022-03-04,234.14,-0.7881,78849222.0,18461756839.079998,9.98,-3632932.9200019836,-434140325.55000305,248187362.88000107
2022-03-03,236.0,-1.6667,78243177.0,18465389772.0,9.9,-317445348.0,-560471654.8499985,-19434794.59999466
2022-03-02,240.0,-2.7553,78261813.0,18782835120.0,9.9,-495623572.0,-384801549.6499939,368405520.0
2022-03-01,246.8,0.4028,78113690.0,19278458692.0,9.88,235410997.62000275,942385342.0,675751300.1800079
2022-02-28,245.81,0.3265,77470598.0,19043047694.379997,9.8,147150529.7499962,973368173.4799995,1435152735.3799973
2022-02-25,245.01,-0.3822,77122963.0,18895897164.63,9.76,-129964262.2199974,682327688.4300041,1294012896.1800003
2022-02-24,245.95,-0.9424,77356623.0,19025861426.85,9.79,-141775242.79999542,541036860.2500038,1055000313.6299973
2022-02-23,248.29,4.3235,77198585.0,19167636669.649994,9.77,831563319.6499939,753207069.6499939,1367265459.3799934
2022-02-22,238.0,0.4431,77042325.0,18336073350.0,9.75,266393829.1000023,-266634041.81999207,-110062938.00000381
2022-02-21,236.95,-1.0234,76259462.0,18069679520.899998,9.65,-143889955.29999924,461784561.8999977,-914748222.4500008
